Activity ID,Activity Name,Description,Begin Timestamp,Begin Timestamp (Raw Milliseconds),End Timestamp,End Timestamp (Raw Milliseconds),Device,Activity Parent,Activity Type,Event Type,Activity Time Zone,Max. Elevation,Max. Elevation (Raw),Begin Latitude (Decimal Degrees Raw),Begin Longitude (Decimal Degrees Raw),End Latitude (Decimal Degrees Raw),End Longitude (Decimal Degrees Raw),Average Moving Speed,Average Moving Speed (Raw),Max. Heart Rate (bpm),Average Heart Rate (bpm),Max. Speed,Max. Speed (Raw),Calories,Calories (Raw),Duration (h:m:s),Duration (Raw Seconds),Moving Duration (h:m:s),Moving Duration (Raw Seconds),Average Speed,Average Speed (Raw),Distance,Distance (Raw),Max. Heart Rate (bpm),Min. Elevation,Min. Elevation (Raw),Elevation Gain,Elevation Gain (Raw),Elevation Loss,Elevation Loss (Raw)
1066799875,South Plainfield Running,,"Sun, Feb 28, 2016 7:35 AM",1.45666E+12,"Sun, Feb 28, 2016 8:29 AM",1.45667E+12,Garmin Forerunner 405CX 2.40.0.0,Any Activity Type,Running,Uncategorized,(GMT-05:00) Eastern Time (US & Canada),79 Feet,78.74015748,,,,,11:05,11.08459216,180,159,7:31,7.519252526,279,278.9962816,0:53:19,3199,0:28:05,1685,11:09 Minutes per Mile,11.15359951,2.53 Miles,2.533547831,93,79 Feet,78.74015748,7 Feet,6.56167979,10 Feet,9.842519685
1066799875,South Plainfield Running,,"Sun, Feb 28, 2016 7:35 AM",1.45666E+12,"Sun, Feb 28, 2016 8:29 AM",1.45667E+12,Garmin Forerunner 405CX 2.40.0.0,Any Activity Type,Running,Uncategorized,(GMT-05:00) Eastern Time (US & Canada),79 Feet,78.74015748,,,,,11:05,11.08459216,180,159,7:31,7.519252526,279,278.9962816,0:53:19,3199,0:28:05,1685,11:09 Minutes per Mile,11.15359951,2.53 Miles,2.533547831,93,79 Feet,78.74015748,7 Feet,6.56167979,10 Feet,9.842519685
1066799838,South Plainfield Running,,"Thu, Feb 25, 2016 6:10 AM",1.4564E+12,"Thu, Feb 25, 2016 6:34 AM",1.4564E+12,Garmin Forerunner 405CX 2.40.0.0,Any Activity Type,Running,Uncategorized,(GMT-05:00) Eastern Time (US & Canada),79 Feet,78.74015748,,,,,11:59,11.98368599,166,146,8:14,8.240394929,250,250.1181379,0:23:33,1413,0:23:33,1413,12:01 Minutes per Mile,12.0143873,1.97 Miles,1.965173387,104,79 Feet,78.74015748,7 Feet,6.56167979,7 Feet,6.56167979
921468809,Piscataway Running,,"Wed, Oct 7, 2015 5:42 PM",1.44425E+12,"Wed, Oct 7, 2015 6:12 PM",1.44426E+12,Garmin Forerunner 405CX 2.40.0.0,Any Activity Type,Running,Uncategorized,(GMT-05:00) Eastern Time (US & Canada),95 Feet,95.07874016,,,,,10:39,10.65632584,166,150,8:25,8.40880574,333,332.9339717,0:28:48,1728,0:28:47,1727,11:06 Minutes per Mile,11.10676694,2.70 Miles,2.701057077,99,95 Feet,95.07874016,33 Feet,33.00524934,31 Feet,31.06955381
915205007,Piscataway Running,,"Wed, Sep 30, 2015 5:36 PM",1.44365E+12,"Wed, Sep 30, 2015 6:04 PM",1.44365E+12,Garmin Forerunner 405CX 2.40.0.0,Any Activity Type,Running,Uncategorized,(GMT-05:00) Eastern Time (US & Canada),147 Feet,147.1128609,,,,,11:42,11.69526613,151,132,9:22,9.370094252,254,253.9367354,0:28:06,1685.57,0:26:38,1598,12:20 Minutes per Mile,12.33616379,2.28 Miles,2.27727571,91,147 Feet,147.1128609,118 Feet,118.2742782,136 Feet,135.6299213
908907045,Piscataway Cycling,,"Thu, Sep 24, 2015 5:28 PM",1.44313E+12,"Thu, Sep 24, 2015 7:34 PM",1.44314E+12,Garmin Forerunner 405CX 2.40.0.0,Cycling,Road Cycling,Touring,(GMT-05:00) Eastern Time (US & Canada),121 Feet,121.3910761,,,,,10.2,10.20250381,165,127,25,24.95254373,"1,299",1299.039145,2:06:25,7585,1:33:36,5616,7.6 Minutes per Mile,7.550180313,15.92 Miles,15.91590735,72,121 Feet,121.3910761,264 Feet,264.0091864,250 Feet,250
907063953,South Plainfield Cycling,First spin on a road bike for... probably like good 20 years.  Loved it! ,"Tue, Sep 22, 2015 6:23 PM",1.44296E+12,"Tue, Sep 22, 2015 7:02 PM",1.44296E+12,Garmin Forerunner 405CX 2.40.0.0,Any Activity Type,Cycling,Uncategorized,(GMT-05:00) Eastern Time (US & Canada),79 Feet,78.74015748,,,,,14.3,14.34054549,,,20.3,20.33933077,536,536.0356275,0:39:14,2354,0:37:31,2251,13.7 Minutes per Mile,13.71563415,8.97 Miles,8.966827478,,79 Feet,78.74015748,17 Feet,17.02755906,24 Feet,23.58923885
907063936,South Plainfield Running,,"Fri, Sep 18, 2015 6:21 AM",1.44257E+12,"Fri, Sep 18, 2015 6:54 AM",1.44257E+12,Garmin Forerunner 405CX 2.40.0.0,Any Activity Type,Running,Uncategorized,(GMT-05:00) Eastern Time (US & Canada),85 Feet,85.30183727,,,,,10:34,10.55967554,182,156,8:02,8.037497293,306,305.9651267,0:33:11,1991,0:32:59,1979,10:37 Minutes per Mile,10.62279881,3.12 Miles,3.123514923,98,85 Feet,85.30183727,10 Feet,9.842519685,7 Feet,6.56167979
889708102,South Plainfield Running,,"Sun, Sep 6, 2015 7:17 AM",1.44154E+12,"Sun, Sep 6, 2015 8:22 AM",1.44154E+12,Garmin Forerunner 405CX 2.40.0.0,Any Activity Type,Running,Uncategorized,(GMT-05:00) Eastern Time (US & Canada),92 Feet,92.12598425,,,,,10:39,10.65356203,163,146,6:48,6.79211824,605,605.0090453,1:04:38,3878,1:02:33,3753,10:40 Minutes per Mile,10.6645761,5.87 Miles,5.871274258,88,92 Feet,92.12598425,33 Feet,32.80839895,30 Feet,29.52755906
887527764,South Plainfield Running,,"Fri, Sep 4, 2015 6:16 AM",1.44136E+12,"Fri, Sep 4, 2015 6:56 AM",1.44136E+12,Garmin Forerunner 405CX 2.40.0.0,Any Activity Type,Running,Uncategorized,(GMT-05:00) Eastern Time (US & Canada),139 Feet,139.2388451,,,,,10:33,10.55058669,188,155,6:14,6.233449642,449,448.9238715,0:39:47,2387,0:39:46,2386,10:33 Minutes per Mile,10.5572195,3.77 Miles,3.769144446,104,139 Feet,139.2388451,287 Feet,287.007874,279 Feet,279.1338583
885568658,South Plainfield Running,,"Wed, Sep 2, 2015 6:10 AM",1.44119E+12,"Wed, Sep 2, 2015 6:46 AM",1.44119E+12,Garmin Forerunner 405CX 2.40.0.0,Any Activity Type,Running,Uncategorized,(GMT-05:00) Eastern Time (US & Canada),89 Feet,88.58267717,,,,,10:25,10.41931215,170,148,8:11,8.180975713,407,406.9192987,0:36:18,2178,0:36:16,2176,10:26 Minutes per Mile,10.42855355,3.48 Miles,3.480716366,97,89 Feet,88.58267717,13 Feet,13.12335958,13 Feet,13.12335958
882269152,South Plainfield Running,,"Sun, Aug 30, 2015 7:06 AM",1.44093E+12,"Sun, Aug 30, 2015 8:09 AM",1.44094E+12,Garmin Forerunner 405CX 2.40.0.0,Any Activity Type,Running,Uncategorized,(GMT-05:00) Eastern Time (US & Canada),153 Feet,153.4120735,,,,,9:44,9.728227678,185,160,7:25,7.413262638,747,747.0131407,1:02:37,3757,1:00:29,3629,09:44 Minutes per Mile,9.730533073,6.22 Miles,6.217303448,87,153 Feet,153.4120735,186 Feet,186.0892388,196 Feet,195.5380577
880051341,South Plainfield Running,,"Fri, Aug 28, 2015 6:12 AM",1.44076E+12,"Fri, Aug 28, 2015 6:45 AM",1.44076E+12,Garmin Forerunner 405CX 2.40.0.0,Any Activity Type,Running,Uncategorized,(GMT-05:00) Eastern Time (US & Canada),89 Feet,88.58267717,,,,,9:39,9.647168879,185,160,6:53,6.88831868,404,404.0553506,0:33:24,2004,0:33:23,2003,09:39 Minutes per Mile,9.652852184,3.46 Miles,3.460428597,104,89 Feet,88.58267717,13 Feet,13.12335958,13 Feet,13.12335958
878742097,Piscataway Running,,"Wed, Aug 26, 2015 5:38 PM",1.44063E+12,"Wed, Aug 26, 2015 6:17 PM",1.44063E+12,Garmin Forerunner 405CX 2.40.0.0,Any Activity Type,Running,Uncategorized,(GMT-05:00) Eastern Time (US & Canada),95 Feet,95.14435696,,,,,11:39,11.64226427,164,137,8:07,8.120327486,359,358.9481673,0:38:58,2338,0:38:53,2333,11:40 Minutes per Mile,11.66851301,3.34 Miles,3.339845303,90,95 Feet,95.14435696,28 Feet,28.0183727,25 Feet,24.60629921
875987810,South Plainfield Running,"R/W=.2/.05+.45/.05/.95/.05
Humid and foggy","Mon, Aug 24, 2015 6:18 AM",1.44041E+12,"Mon, Aug 24, 2015 6:55 AM",1.44041E+12,Garmin Forerunner 405CX 2.40.0.0,Any Activity Type,Running,Uncategorized,(GMT-05:00) Eastern Time (US & Canada),72 Feet,72.17847769,,,,,9:47,9.785548924,175,155,6:33,6.549693003,436,436.0361048,0:37:10,2230,0:37:07,2227,09:48 Minutes per Mile,9.799829586,3.79 Miles,3.7930051,91,72 Feet,72.17847769,3 Feet,3.280839895,10 Feet,9.842519685
871342160,Istanbul Mahmutpasa Running,,"Thu, Aug 20, 2015 5:31 AM",1.44004E+12,"Thu, Aug 20, 2015 6:06 AM",1.44004E+12,Garmin Forerunner 405CX 2.40.0.0,Any Activity Type,Running,Uncategorized,(GMT+02:00) Central Africa Time,218 Feet,218.2742782,,,,,10:23,10.38614868,174,158,6:36,6.595777728,389,389.0196228,0:34:36,2076,0:34:32,2072,10:25 Minutes per Mile,10.41692617,3.32 Miles,3.324938609,131,218 Feet,218.2742782,126 Feet,125.6889764,147 Feet,147.3753281
866913986,Archaia Olympia Running,,"Sun, Aug 16, 2015 6:29 AM",1.4397E+12,"Sun, Aug 16, 2015 7:00 AM",1.4397E+12,Garmin Forerunner 405CX 2.40.0.0,Any Activity Type,Running,Uncategorized,(GMT+02:00) Eastern European Time,304 Feet,303.7729659,,,,,10:44,10.74041263,163,152,8:06,8.09472284,370,369.9266352,0:31:48,1908,0:31:42,1902,10:48 Minutes per Mile,10.80145567,2.95 Miles,2.951469667,74,304 Feet,303.7729659,244 Feet,243.7992126,244 Feet,243.7664042
861792173,Istanbul Running,,"Tue, Aug 11, 2015 6:16 AM",1.43926E+12,"Tue, Aug 11, 2015 6:51 AM",1.43927E+12,Garmin Forerunner 405CX 2.40.0.0,Any Activity Type,Running,Uncategorized,(GMT+02:00) Eastern European Time,523 Feet,523.4580052,,,,,10:53,10.88136095,180,149,7:10,7.163658318,355,354.8909074,0:35:07,2107,0:35:04,2104,10:54 Minutes per Mile,10.89718651,3.22 Miles,3.222636055,79,523 Feet,523.4580052,216 Feet,215.9776903,206 Feet,205.5774278
857651811,South Plainfield Running,,"Fri, Aug 7, 2015 7:19 AM",1.43895E+12,"Fri, Aug 7, 2015 7:52 AM",1.43895E+12,Garmin Forerunner 405CX 2.40.0.0,Any Activity Type,Running,Uncategorized,(GMT-05:00) Eastern Time (US & Canada),182 Feet,181.7913386,,,,,9:22,9.360529202,188,160,5:16,5.268524883,396,395.9408308,0:33:27,2006.66,0:32:34,1954,09:37 Minutes per Mile,9.612794026,3.48 Miles,3.479150511,92,182 Feet,181.7913386,249 Feet,249.1469816,189 Feet,189.2388451
857378034,Piscataway Running,,"Wed, Aug 5, 2015 5:39 PM",1.43881E+12,"Wed, Aug 5, 2015 6:18 PM",1.43881E+12,Garmin Forerunner 405CX 2.40.0.0,Any Activity Type,Running,Uncategorized,(GMT-05:00) Eastern Time (US & Canada),198 Feet,197.5721785,,,,,11:10,11.16289847,165,143,8:41,8.683375704,409,409.0672598,0:39:28,2368,0:37:43,2263,11:41 Minutes per Mile,11.68084118,3.38 Miles,3.378749354,84,198 Feet,197.5721785,142 Feet,141.9291339,175 Feet,175.0328084
851168607,South Plainfield Running,,"Sat, Aug 1, 2015 7:09 AM",1.43843E+12,"Sat, Aug 1, 2015 8:12 AM",1.43843E+12,Garmin Forerunner 405CX 2.40.0.0,Any Activity Type,Running,Training,(GMT-05:00) Eastern Time (US & Canada),139 Feet,139.2388451,,,,,10:04,10.06496484,178,161,5:10,5.160867669,751,751.0704006,1:02:55,3774.55,1:01:55,3715,10:14 Minutes per Mile,10.2263023,6.15 Miles,6.151705291,90,139 Feet,139.2388451,270 Feet,269.652231,279 Feet,279.1338583
849086139,South Plainfield Running,,"Thu, Jul 30, 2015 6:19 AM",1.43825E+12,"Thu, Jul 30, 2015 6:52 AM",1.43825E+12,Garmin Forerunner 405CX 2.40.0.0,Any Activity Type,Running,Training,(GMT-05:00) Eastern Time (US & Canada),224 Feet,224.3766404,,,,,10:32,10.53631414,179,156,7:02,7.037456652,366,366.1080377,0:33:01,1981.25,0:32:05,1925,10:51 Minutes per Mile,10.84419345,3.05 Miles,3.045023314,86,224 Feet,224.3766404,445 Feet,444.7178478,431 Feet,430.511811
845048454,South Plainfield Running,,"Sun, Jul 26, 2015 7:43 AM",1.43791E+12,"Sun, Jul 26, 2015 9:06 AM",1.43792E+12,Garmin Forerunner 405CX 2.40.0.0,Any Activity Type,Running,Uncategorized,(GMT-05:00) Eastern Time (US & Canada),174 Feet,173.9173228,,,,,10:11,10.19107077,179,158,7:57,7.945653483,994,994.0286681,1:23:40,5020.42,1:21:58,4918,10:24 Minutes per Mile,10.40330531,8.04 Miles,8.04299143,96,174 Feet,173.9173228,293 Feet,293.3070866,304 Feet,304.3635171
842502797,Piscataway Running,,"Thu, Jul 23, 2015 5:43 PM",1.43769E+12,"Thu, Jul 23, 2015 6:20 PM",1.43769E+12,Garmin Forerunner 405CX 2.40.0.0,Any Activity Type,Running,Training,(GMT-05:00) Eastern Time (US & Canada),119 Feet,118.7335958,,,,,10:34,10.56533824,179,146,6:15,6.251966151,407,406.9192987,0:37:10,2229.87,0:36:11,2171,10:51 Minutes per Mile,10.85183362,3.42 Miles,3.424718395,83,119 Feet,118.7335958,77 Feet,77.26377953,118 Feet,118.2742782
839912917,South Plainfield Running,,"Tue, Jul 21, 2015 6:19 AM",1.43747E+12,"Tue, Jul 21, 2015 6:58 AM",1.43748E+12,Garmin Forerunner 405CX 2.40.0.0,Any Activity Type,Running,Training,(GMT-05:00) Eastern Time (US & Canada),303 Feet,303.2152231,,,,,9:46,9.768632964,177,157,6:20,6.332798222,464,463.9595992,0:39:29,2369,0:36:57,2217,10:19 Minutes per Mile,10.31447791,3.78 Miles,3.782516354,87,303 Feet,303.2152231,345 Feet,345.3412073,367 Feet,367.4212598
836739223,South Plainfield Running,,"Sat, Jul 18, 2015 7:30 AM",1.43722E+12,"Sat, Jul 18, 2015 8:34 AM",1.43722E+12,Garmin Forerunner 405CX 2.40.0.0,Any Activity Type,Running,Training,(GMT-05:00) Eastern Time (US & Canada),138 Feet,137.6312336,,,,,9:55,9.924030299,224,165,5:04,5.069891616,790,789.9723629,1:04:30,3870,1:01:00,3660,10:30 Minutes per Mile,10.49292669,6.15 Miles,6.146697039,89,138 Feet,137.6312336,225 Feet,225.492126,214 Feet,214.4685039
835452184,Piscataway Running,,"Thu, Jul 16, 2015 5:51 PM",1.43708E+12,"Thu, Jul 16, 2015 6:26 PM",1.43709E+12,Garmin Forerunner 405CX 2.40.0.0,Any Activity Type,Running,Training,(GMT-05:00) Eastern Time (US & Canada),116 Feet,115.5839895,,,,,10:33,10.55748676,186,149,6:32,6.5257024,375,374.9385444,0:35:24,2124,0:33:30,2010,11:02 Minutes per Mile,11.03021005,3.17 Miles,3.173106558,125,116 Feet,115.5839895,147 Feet,146.6535433,117 Feet,116.6994751
832945183,South Plainfield Running,,"Tue, Jul 14, 2015 6:20 AM",1.43687E+12,"Tue, Jul 14, 2015 7:00 AM",1.43687E+12,Garmin Forerunner 405CX 2.40.0.0,Any Activity Type,Running,Training,(GMT-05:00) Eastern Time (US & Canada),172 Feet,172.3425197,,,,,10:23,10.37643162,201,165,7:07,7.118499644,359,358.9481673,0:40:07,2407.2,0:39:01,2341,10:40 Minutes per Mile,10.66986168,3.76 Miles,3.760122137,98,172 Feet,172.3425197,293 Feet,293.3070866,289 Feet,288.5826772
830889573,South Plainfield Running,,"Sun, Jul 12, 2015 7:25 AM",1.4367E+12,"Sun, Jul 12, 2015 8:30 AM",1.4367E+12,Garmin Forerunner 405CX 2.40.0.0,Any Activity Type,Running,Training,(GMT-05:00) Eastern Time (US & Canada),221 Feet,221.2270341,,,,,10:26,10.42743849,180,154,4:37,4.615381836,742,742.0012315,1:05:25,3925,1:03:33,3813,10:44 Minutes per Mile,10.73356161,6.09 Miles,6.094495645,94,221 Feet,221.2270341,170 Feet,170.308399,304 Feet,304.3635171
