,Activity ID,Activity Name,Begin Timestamp,End Timestamp,Activity Parent,Activity Type,Event Type,Activity Time Zone,Max. Elevation (Raw),Average Moving Speed (Raw),Max. Heart Rate (bpm),Average Heart Rate (bpm),Max. Speed (Raw),Calories (Raw),Duration (Raw Seconds),Moving Duration (Raw Seconds),Average Speed (Raw),Distance (Raw),Min. Elevation (Raw),Elevation Gain (Raw),Elevation Loss (Raw)
51,723573966,3.3mi Easy,2014-10-23 05:40:00,2014-10-23 06:20:00,Running,Street Running,Uncategorized,(GMT-05:00) Eastern Time (US & Canada),353.70734908136484,11.020408326345727,170.0,144.0,7.797120768739089,375.89319382723716,2398.0,2207.0,11.973446447399802,3.337745068798218,353.70734908136484,274.37664041994753,430.51181102362204
54,605880225,3.4mi Easy,2014-10-05 07:30:00,2014-10-05 08:03:00,Running,Street Running,Training,(GMT-05:00) Eastern Time (US & Canada),113.97637795275593,9.277253490960687,,,4.337671727402008,524.1025102505478,1986.53,1915.0,9.623781920312341,3.4403148115008357,113.97637795275593,26.804461942257213,50.45931758530185
55,605880194,3.3mi Easy w/ Office Team,2014-10-01 05:35:00,2014-10-01 06:13:00,Running,Street Running,Uncategorized,(GMT-05:00) Eastern Time (US & Canada),112.40157480314959,10.827904192657227,175.0,143.0,6.485838817698902,394.0315320690594,2271.0,2172.0,11.317652492789195,3.3432131352899077,112.40157480314959,102.49343832020998,116.6994750656168
56,602311054,3.1mi Easy,2014-09-30 06:16:00,2014-09-30 06:47:00,Running,Street Running,Training,(GMT-05:00) Eastern Time (US & Canada),132.90682414698162,9.910372569100746,178.0,155.0,7.767572850678732,375.89319382723716,1881.0,1870.0,9.966549012540568,3.144852809591983,132.90682414698162,230.249343832021,164.00918635170603
57,602311031,3.3mi Easy w/ Office Team,2014-09-25 05:55:00,2014-09-25 06:32:00,Running,Street Running,Training,(GMT-05:00) Eastern Time (US & Canada),132.90682414698162,10.700798640937373,181.0,146.0,6.36777819149091,304.0558278958096,2216.0,2144.0,11.059954177412116,3.3393171379145783,132.90682414698162,301.21391076115486,294.8818897637795
58,597825456,3.2mi Easy,2014-09-24 06:13:00,2014-09-24 06:45:00,Running,Street Running,Training,(GMT-05:00) Eastern Time (US & Canada),99.80314960629921,9.772196754204963,173.0,155.0,6.269734118687937,373.98389506494004,1927.68,1853.0,10.166037905637252,3.1603249522786925,99.80314960629921,275.98425196850394,245.997375328084
60,593924201,3.5mi Easy,2014-09-19 06:14:00,2014-09-19 06:49:00,Running,Street Running,Training,(GMT-05:00) Eastern Time (US & Canada),177.06692913385825,9.824519592043613,204.0,159.0,6.57871565332232,336.9912315454342,2104.0,2042.0,10.12146834288638,3.464119541875448,177.06692913385825,406.8569553805774,340.61679790026244
61,593924182,3.4mi Easy w/ Office Team,2014-09-17 05:44:00,2014-09-17 06:22:00,Running,Street Running,Training,(GMT-05:00) Eastern Time (US & Canada),158.13648293963254,10.417237856985759,186.0,148.0,6.3595583454312905,389.01962281802946,2248.0,2104.0,11.129016428430758,3.366216296826533,158.13648293963254,197.11286089238843,184.51443569553803
62,583184910,3.4mi Easy,2014-09-05 06:28:00,2014-09-05 07:05:00,Running,Street Running,Training,(GMT-05:00) Eastern Time (US & Canada),139.23884514435696,10.26813376356071,177.0,148.0,7.387838762005616,391.88357096147524,2203.55,2090.0,10.826002944829762,3.3923698103078026,139.23884514435696,268.07742782152235,223.9173228346457
63,583184887,3.3mi Easy w/ Office Team,2014-09-03 05:39:00,2014-09-03 06:17:00,Running,Street Running,Training,(GMT-05:00) Eastern Time (US & Canada),240.15748031496062,10.677855533282305,175.0,145.0,7.123730760775743,363.9600765628804,2250.0,2131.0,11.273129694405695,3.3261999920464485,240.15748031496062,167.15879265091863,253.9041994750656
64,576152470,3.5mi v. Easy,2014-08-27 06:16:00,2014-08-27 06:53:00,Running,Street Running,Training,(GMT-05:00) Eastern Time (US & Canada),147.11286089238843,10.123455717402763,161.0,142.0,7.4537502417318615,383.0530641858512,2211.47,2122.0,10.550291524677046,3.493535254115963,147.11286089238843,124.57349081364828,173.45800524934384
67,565431279,3.5mi Easy,2014-08-15 06:16:00,2014-08-15 06:51:00,Running,Street Running,Training,(GMT-05:00) Eastern Time (US & Canada),172.34251968503938,9.524615627785057,183.0,152.0,6.0698646801543585,341.04849141531554,2096.0,1990.0,10.026404925482034,3.482207657281476,172.34251968503938,257.0538057742782,239.6981627296588
69,563253230,3.5mi Recovery,2014-08-12 06:13:00,2014-08-12 06:51:00,Running,Street Running,Training,(GMT-05:00) Eastern Time (US & Canada),136.0564304461942,10.496794234505053,185.0,148.0,6.246563038425429,445.1052739605062,2244.86,2205.0,10.686545807379144,3.5010662729658795,136.0564304461942,118.27427821522308,145.07874015748033
73,557675569,3mi Easy,2014-08-05 06:14:00,2014-08-05 06:48:00,Running,Street Running,Training,(GMT-05:00) Eastern Time (US & Canada),120.30839895013122,10.544237692932922,162.0,144.0,8.577806939284327,348.9243488097909,2027.73,2008.0,10.647842179826133,3.173926767676768,120.30839895013122,61.51574803149607,63.09055118110236
75,554413182,3.3mi Easy,2014-08-01 06:16:00,2014-08-01 06:52:00,Running,Street Running,Training,(GMT-05:00) Eastern Time (US & Canada),139.23884514435696,9.690140616789963,190.0,152.0,6.827786690865064,363.0054271817319,2163.75,2036.0,10.298154105883736,3.501842986956176,139.23884514435696,187.66404199475065,179.79002624671918
