,USAFID,WBAN,YR,M,D,HR,MIN,LAT,LONG,ELEV,WIND_DIR,WIND_SPD,TEMP,DEW_POINT,ATM_PRES
0,722247,54785,2013,1,1,0,53,40.624,-74.669,30,999,0.0,2.2,-5.6,1014.1
1,722247,54785,2013,1,1,1,53,40.624,-74.669,30,999,0.0,2.2,-5.6,1013.7
2,722247,54785,2013,1,1,2,53,40.624,-74.669,30,999,0.0,2.2,-5.0,1013.0
3,722247,54785,2013,1,1,3,53,40.624,-74.669,30,999,0.0,1.7,-3.9,1012.8
4,722247,54785,2013,1,1,4,53,40.624,-74.669,30,999,0.0,2.2,-3.9,1012.8
5,722247,54785,2013,1,1,4,59,40.624,-74.669,30,999,999.9,999.9,999.9,9999.9
6,722247,54785,2013,1,1,4,59,40.624,-74.669,30,999,999.9,999.9,999.9,9999.9
7,722247,54785,2013,1,1,5,53,40.624,-74.669,30,999,0.0,1.7,-3.3,1012.2
8,722247,54785,2013,1,1,6,53,40.624,-74.669,30,999,2.1,3.9,-2.2,1011.9
9,722247,54785,2013,1,1,7,53,40.624,-74.669,30,999,2.6,4.4,-1.7,1012.7
10,722247,54785,2013,1,1,8,53,40.624,-74.669,30,999,3.1,4.4,-2.2,1012.5
11,722247,54785,2013,1,1,9,53,40.624,-74.669,30,999,1.5,3.9,-2.2,1012.1
12,722247,54785,2013,1,1,10,53,40.624,-74.669,30,999,1.5,3.9,-2.2,1012.1
13,722247,54785,2013,1,1,11,53,40.624,-74.669,30,999,2.1,3.3,-2.2,1012.6
14,722247,54785,2013,1,1,12,53,40.624,-74.669,30,999,2.1,3.9,-2.2,1012.6
15,722247,54785,2013,1,1,13,53,40.624,-74.669,30,260,2.6,3.9,-2.2,1012.6
16,722247,54785,2013,1,1,14,53,40.624,-74.669,30,999,3.1,3.9,-2.2,1012.8
17,722247,54785,2013,1,1,15,53,40.624,-74.669,30,999,3.1,4.4,-2.2,1012.7
18,722247,54785,2013,1,1,16,53,40.624,-74.669,30,290,3.1,4.4,-2.2,1012.0
19,722247,54785,2013,1,1,17,53,40.624,-74.669,30,300,4.1,3.9,-2.2,1011.4
20,722247,54785,2013,1,1,18,53,40.624,-74.669,30,310,3.1,2.2,-0.6,1011.0
21,722247,54785,2013,1,1,19,53,40.624,-74.669,30,999,0.0,2.2,-1.7,1010.9
22,722247,54785,2013,1,1,21,53,40.624,-74.669,30,320,1.5,2.8,-3.3,1012.5
23,722247,54785,2013,1,1,22,53,40.624,-74.669,30,340,4.1,1.7,-6.7,1013.0
24,722247,54785,2013,1,1,23,53,40.624,-74.669,30,320,3.1,1.1,-8.9,1014.5
25,722247,54785,2013,1,2,0,53,40.624,-74.669,30,330,2.6,0.0,-8.9,1014.7
